text,label
Terima kasih banyak atas bantuan awak,positive
Saya tunggu maklum balas tentang kemas kini itu,neutral
Saya akan semak fail itu sebelum pembentangan,neutral
"Kalau ada perubahan pada tugasan ini, beritahu saya",neutral
Saya akan hubungi awak kemudian,neutral
Saya akan semak perbincangan tadi semalam,neutral
Saya akan semak bahagian awak semalam,neutral
Saya ingatkan kita buat sama-sama rupanya saya seorang je,passive aggressive
Wah hebat sampai semua orang kena tunggu awak,passive aggressive
"Tak apa lah, mungkin saya je yang terlalu risau tentang laporan ini",passive aggressive
Saya tunggu maklum balas tentang fail itu,neutral
Saya akan semak laporan ini sebelum kelas,neutral
"Saya dah tunggu dokumen itu dari tadi, tapi tak apa",passive aggressive
"Saya ingatkan tugasan ini kita buat sama-sama, rupanya saya sorang je",passive aggressive
Saya akan update selepas siap,neutral
Akhirnya ada juga respon tentang dokumen itu,passive aggressive
Terima kasih kerana bantu siapkan mesej saya tadi,positive
Saya akan hantar bahagian awak selepas siap,neutral
Saya suka cara awak uruskan laporan ini,positive
"Saya dah follow up tentang kemas kini itu banyak kali, mungkin awak terlepas pandang",passive aggressive
Terima kasih kerana update awal,positive
"Saya dah buat bahagian saya, tinggal awak je sekarang",passive aggressive
Saya suka cara awak uruskan perbincangan tadi,positive
Saya sangat hargai usaha awak dalam bahagian awak,positive
"Baguslah, bahagian awak masih belum siap walaupun semua orang dah tunggu",passive aggressive
Menarik juga bila kemas kini itu diberitahu last minute,passive aggressive
Saya akan hantar dokumen itu selepas siap,neutral
Terima kasih kerana bantu siapkan tugasan ini dari semalam,positive
Saya akan semak laporan ini hari ini,neutral
"Wah hebat, semua orang dah buat kecuali laporan ini",passive aggressive
Terima kasih kerana bantu siapkan tugasan ini sebelum kelas,positive
Terima kasih kerana bantu siapkan laporan ini sebelum kelas,positive
"Saya dah tunggu projek ini dari tadi, tapi tak apa",passive aggressive
"Saya ingatkan kita satu kumpulan, bukan saya seorang sahaja",passive aggressive
"Saya dah follow up tentang laporan ini banyak kali, mungkin awak terlepas pandang",passive aggressive
Terima kasih kerana bantu siapkan slaid pembentangan semalam,positive
Saya sangat hargai usaha awak dalam kerja kumpulan ini,positive
Saya sangat hargai usaha awak dalam dokumen itu,positive
Saya akan tengok dahulu,neutral
"Saya ingatkan laporan ini kita buat sama-sama, rupanya saya sorang je",passive aggressive
Saya akan semak fail itu sebelum kelas,neutral
Saya sangat hargai usaha awak hari ini,positive
Saya akan semak mesej saya sebelum mesyuarat,neutral
Saya tunggu maklum balas tentang slaid pembentangan,neutral
Saya suka cara awak uruskan kemas kini itu,positive
Saya akan semak tugasan ini dari pagi,neutral
"Bagus kerja awak untuk kerja kumpulan ini, memang membantu",positive
"Baguslah, laporan ini masih belum siap walaupun semua orang dah tunggu",passive aggressive
"Bagus kerja awak untuk bahagian awak, memang membantu",positive
"Saya dah tunggu kemas kini itu dari tadi, tapi tak apa",passive aggressive
Saya suka cara awak uruskan slaid pembentangan,positive
Kerjasama awak dalam mesej saya sangat dihargai,positive
Akhirnya ada juga respon tentang mesej saya,passive aggressive
"Saya dah follow up tentang slaid pembentangan banyak kali, mungkin awak terlepas pandang",passive aggressive
Kita bincang semula tentang tugasan ini kemudian,neutral
"Bagus kerja awak untuk slaid pembentangan, memang membantu",positive
Saya tunggu maklum balas tentang dokumen itu,neutral
"Wah hebat, semua orang dah buat kecuali kemas kini itu",passive aggressive
Saya tunggu maklum balas tentang bahagian awak,neutral
"Saya ingatkan dokumen itu kita buat sama-sama, rupanya saya sorang je",passive aggressive
Terima kasih kerana bantu siapkan mesej saya sebelum kelas,positive
Kita bincang semula tentang kerja kumpulan ini kemudian,neutral
"Wah hebat, semua orang dah buat kecuali mesej saya",passive aggressive
Saya akan semak tugasan ini semalam,neutral
Kita boleh bincang semula supaya kerja lebih teratur,neutral
Saya suka cara awak selesaikan tugasan ini,positive
Kerja awak memang kemas dan jelas,positive
Saya akan semak dokumen itu dari pagi,neutral
"Saya dah follow up, boleh maklumkan status terkini",neutral
Saya ingin pastikan semua bahagian siap sebelum hantar,neutral
Saya akan semak kerja kumpulan ini hari ini,neutral
"Wah hebat, semua orang dah buat kecuali tugasan ini",passive aggressive
"Tak apa lah, mungkin saya je yang terlalu risau tentang projek ini",passive aggressive
"Kalau ada perubahan pada slaid pembentangan, beritahu saya",neutral
Saya tunggu maklum balas tentang tugasan ini,neutral
Terima kasih sebab beri kerjasama yang baik,positive
Kita bincang semula tentang mesej saya kemudian,neutral
Saya akan semak dokumen itu dari semalam,neutral
Saya akan semak mesej saya hari ini,neutral
Terima kasih kerana bantu siapkan laporan ini tadi,positive
Terima kasih kerana bantu siapkan bahagian awak tadi,positive
Saya akan semak kerja kumpulan ini semalam,neutral
Terima kasih sebab baru update tentang kemas kini itu sebelum pembentangan,passive aggressive
Terima kasih sebab baru update tentang fail itu hari ini,passive aggressive
Saya tunggu maklum balas tentang laporan ini,neutral
Saya akan hantar laporan ini selepas siap,neutral
"Saya dah tunggu perbincangan tadi dari tadi, tapi tak apa",passive aggressive
"Wah hebat, semua orang dah buat kecuali slaid pembentangan",passive aggressive
Terima kasih kerana bantu siapkan projek ini hari ini,positive
Akhirnya ada juga respon tentang kerja kumpulan ini,passive aggressive
Akhirnya ada juga respon tentang bahagian awak,passive aggressive
Boleh update saya tentang tugasan ini bila ada masa,neutral
Saya suka cara awak uruskan tugasan ini,positive
"Tak apa lah, mungkin saya je yang terlalu risau tentang dokumen itu",passive aggressive
"Bagus, awak banyak membantu kumpulan",positive
"Baguslah, mesej saya masih belum siap walaupun semua orang dah tunggu",passive aggressive
Terima kasih kerana bantu siapkan fail itu dari semalam,positive
"Saya ingatkan kerja kumpulan ini kita buat sama-sama, rupanya saya sorang je",passive aggressive
"Tak apa, saya boleh buat kerja kumpulan ini sendiri macam biasa",passive aggressive
"Tak apa, saya faham kerja saya memang kena buat lebih",passive aggressive
"Bagus kerja awak untuk perbincangan tadi, memang membantu",positive
"Saya dah follow up tentang kerja kumpulan ini banyak kali, mungkin awak terlepas pandang",passive aggressive
Saya tunggu kemas kini daripada awak,neutral
Kerjasama awak dalam projek ini sangat dihargai,positive
"Tak apa, saya boleh buat perbincangan tadi sendiri macam biasa",passive aggressive
Terima kasih kerana bantu siapkan kemas kini itu semalam,positive
Terima kasih sebab baru update tentang slaid pembentangan sebelum mesyuarat,passive aggressive
Menarik juga bila mesej saya diberitahu last minute,passive aggressive
"Saya dah follow up tentang mesej saya banyak kali, mungkin awak terlepas pandang",passive aggressive
Terima kasih kerana bantu siapkan fail itu tadi,positive
Terima kasih sebab beri respon yang jelas tentang fail itu,positive
"Saya dah follow up tentang dokumen itu banyak kali, mungkin awak terlepas pandang",passive aggressive
Terima kasih sebab baru update tentang mesej saya dari pagi,passive aggressive
Mungkin saya je yang ambil serius tugasan ini,passive aggressive
Boleh maklumkan bila sudah siap,neutral
"Saya dah tunggu tugasan ini dari tadi, tapi tak apa",passive aggressive
"Saya tak kisah pun, cuma pelik kenapa benda ni selalu jadi",passive aggressive
"Baguslah, kerja kumpulan ini masih belum siap walaupun semua orang dah tunggu",passive aggressive
"Tak apa lah, mungkin saya je yang terlalu risau tentang fail itu",passive aggressive
Terima kasih sebab beri respon yang jelas tentang laporan ini,positive
Terima kasih kerana bantu siapkan laporan ini sebelum mesyuarat,positive
"Tak apa, saya boleh buat fail itu sendiri macam biasa",passive aggressive
Saya akan bantu kalau ada bahagian yang susah,neutral
Boleh update saya tentang mesej saya bila ada masa,neutral
"Kalau belum siap, kita boleh susun semula pembahagian kerja",neutral
Terima kasih kerana bantu siapkan kerja kumpulan ini tadi,positive
"Saya ingatkan mesej saya kita buat sama-sama, rupanya saya sorang je",passive aggressive
Terima kasih sebab baru update tentang kerja kumpulan ini dari semalam,passive aggressive
Terima kasih kerana bantu siapkan projek ini semalam,positive
"Saya bukan nak paksa, cuma semua orang dah tunggu bahagian awak",passive aggressive
Terima kasih sebab baru update tentang bahagian awak hari ini,passive aggressive
Terima kasih sebab beri respon yang jelas tentang projek ini,positive
Kerjasama awak dalam tugasan ini sangat dihargai,positive
Saya akan semak kemas kini itu semalam,neutral
Kerjasama awak dalam bahagian awak sangat dihargai,positive
Saya tunggu maklum balas tentang mesej saya,neutral
Terima kasih kerana bantu siapkan kerja kumpulan ini hari ini,positive
"Wah hebat, semua orang dah buat kecuali fail itu",passive aggressive
Baik saya akan semak nanti,neutral
Saya cuma ingin semak perkembangan tugasan ini,neutral
Saya akan hantar mesej saya selepas siap,neutral
"Saya dah tunggu fail itu dari tadi, tapi tak apa",passive aggressive
"Saya ingatkan slaid pembentangan kita buat sama-sama, rupanya saya sorang je",passive aggressive
Terima kasih sebab beri respon yang jelas tentang perbincangan tadi,positive
"Tak apa lah, mungkin saya je yang terlalu risau tentang kerja kumpulan ini",passive aggressive
Terima kasih kerana bantu siapkan perbincangan tadi tadi,positive
Saya akan hantar perbincangan tadi selepas siap,neutral
Saya akan hantar tugasan ini selepas siap,neutral
Saya sangat hargai usaha awak dalam perbincangan tadi,positive
"Tak apa, saya boleh buat bahagian awak sendiri macam biasa",passive aggressive
Terima kasih kerana bantu siapkan laporan ini dari pagi,positive
Boleh update saya tentang projek ini bila ada masa,neutral
Saya akan semak tugasan ini dari semalam,neutral
Terima kasih sebab beri respon yang jelas tentang kemas kini itu,positive
"Saya dah tunggu mesej saya dari tadi, tapi tak apa",passive aggressive
Boleh update saya tentang laporan ini bila ada masa,neutral
Terima kasih kerana bantu siapkan dokumen itu sebelum mesyuarat,positive
"Saya dah tunggu slaid pembentangan dari tadi, tapi tak apa",passive aggressive
Kerjasama awak dalam kemas kini itu sangat dihargai,positive
Saya akan semak dokumen itu tadi,neutral
Saya suka cara awak uruskan kerja kumpulan ini,positive
Saya suka cara awak uruskan dokumen itu,positive
Saya akan hantar projek ini selepas siap,neutral
"Saya dah follow up tentang perbincangan tadi banyak kali, mungkin awak terlepas pandang",passive aggressive
Kerjasama awak dalam slaid pembentangan sangat dihargai,positive
Kita bincang semula tentang dokumen itu kemudian,neutral
Terima kasih sebab baru update tentang laporan ini dari semalam,passive aggressive
Saya akan semak slaid pembentangan sebelum mesyuarat,neutral
Saya akan semak laporan ini dari pagi,neutral
Saya akan semak bahagian awak sebelum mesyuarat,neutral
Akhirnya ada juga respon tentang kemas kini itu,passive aggressive
Saya akan semak slaid pembentangan sebelum kelas,neutral
Terima kasih kerana bantu siapkan dokumen itu dari semalam,positive
Saya hargai komitmen awak dalam kerja ini,positive
Saya tunggu maklum balas tentang projek ini,neutral
Terima kasih kerana bantu siapkan fail itu semalam,positive
Terima kasih sebab baru update tentang bahagian awak sebelum pembentangan,passive aggressive
"Bagus kerja awak untuk laporan ini, memang membantu",positive
Saya akan semak fail itu dari pagi,neutral
Saya sangat hargai usaha awak dalam fail itu,positive
Kita bincang semula tentang projek ini kemudian,neutral
Akhirnya muncul juga selepas semua dah selesai,passive aggressive
"Baik, saya akan buat bahagian saya",neutral
Saya sangat hargai usaha awak dalam mesej saya,positive
"Saya dah tunggu bahagian awak dari tadi, tapi tak apa",passive aggressive
Terima kasih kerana bantu siapkan mesej saya dari pagi,positive
Saya sangat hargai usaha awak dalam slaid pembentangan,positive
Terima kasih sebab tak reply langsung,passive aggressive
"Noted, saya faham",neutral
Terima kasih kerana bantu siapkan kerja kumpulan ini sebelum pembentangan,positive
Akhirnya ada juga respon tentang laporan ini,passive aggressive
"Saya dah tunggu laporan ini dari tadi, tapi tak apa",passive aggressive
Terima kasih kerana bantu siapkan projek ini dari semalam,positive
Saya akan semak projek ini sebelum kelas,neutral
Boleh update saya tentang bahagian awak bila ada masa,neutral
"Bagus kerja awak untuk tugasan ini, memang membantu",positive
Kita ikut perancangan yang telah dibuat,neutral
Saya akan semak dokumen itu sebelum mesyuarat,neutral
"Kalau ada perubahan pada kemas kini itu, beritahu saya",neutral
Terima kasih ya update last minute macam ni,passive aggressive
"Kalau ada perubahan pada mesej saya, beritahu saya",neutral
Saya sangat hargai usaha awak dalam tugasan ini,positive
Terima kasih sebab baru update tentang fail itu tadi,passive aggressive
"Bagus kerja awak untuk kemas kini itu, memang membantu",positive
Terima kasih kerana bantu siapkan fail itu sebelum mesyuarat,positive
"Tak apa, saya boleh buat kemas kini itu sendiri macam biasa",passive aggressive
Kita bincang semula tentang laporan ini kemudian,neutral
Terima kasih kerana bantu siapkan fail itu sebelum pembentangan,positive
"Baguslah, slaid pembentangan masih belum siap walaupun semua orang dah tunggu",passive aggressive
Saya akan semak projek ini sebelum mesyuarat,neutral
Saya suka cara awak uruskan bahagian awak,positive
Terima kasih sebab inform selepas semuanya jadi kelam kabut,passive aggressive
Terima kasih sebab beri respon yang jelas tentang mesej saya,positive
Saya akan hantar kerja kumpulan ini selepas siap,neutral
"Bagus kerja awak untuk projek ini, memang membantu",positive
Saya sangat hargai usaha awak dalam kemas kini itu,positive
Terima kasih kerana bantu siapkan kemas kini itu dari pagi,positive
Terima kasih kerana bantu siapkan projek ini sebelum pembentangan,positive
"Saya ingatkan kemas kini itu kita buat sama-sama, rupanya saya sorang je",passive aggressive
Akhirnya ada juga respon tentang perbincangan tadi,passive aggressive
Kita bincang semula tentang bahagian awak kemudian,neutral
Saya sangat hargai usaha awak dalam laporan ini,positive
"Tak apa, saya boleh buat tugasan ini sendiri macam biasa",passive aggressive
Saya suka cara awak uruskan fail itu,positive
Akhirnya ada juga respon tentang fail itu,passive aggressive
Saya akan semak kemas kini itu tadi,neutral
Saya akan hantar slaid pembentangan selepas siap,neutral
Boleh maklumkan jika ada sebarang masalah,neutral
Boleh update saya tentang slaid pembentangan bila ada masa,neutral
"Saya dah follow up tentang tugasan ini banyak kali, mungkin awak terlepas pandang",passive aggressive
Saya akan semak slaid pembentangan dari semalam,neutral
Terima kasih kerana bantu siapkan bahagian awak dari semalam,positive
"Kalau ada perubahan pada projek ini, beritahu saya",neutral
Saya tunggu update daripada awak apabila ada masa,neutral
Terima kasih kerana bantu siapkan kerja kumpulan ini sebelum mesyuarat,positive
Kerjasama awak dalam perbincangan tadi sangat dihargai,positive
Saya akan hantar kemas kini itu selepas siap,neutral
Saya akan hantar fail itu selepas siap,neutral
Kerjasama awak dalam laporan ini sangat dihargai,positive
Saya dah follow up banyak kali mungkin awak terlepas pandang,passive aggressive
Terima kasih kerana bantu siapkan kemas kini itu sebelum mesyuarat,positive
"Baguslah, kemas kini itu masih belum siap walaupun semua orang dah tunggu",passive aggressive
Kerjasama awak dalam fail itu sangat dihargai,positive
Terima kasih kerana bantu siapkan slaid pembentangan sebelum kelas,positive
"Kalau ada perubahan pada perbincangan tadi, beritahu saya",neutral
Boleh update saya tentang perbincangan tadi bila ada masa,neutral
Tak apa lah saya dah biasa handle semua sendiri,passive aggressive
"Saya dah tunggu kerja kumpulan ini dari tadi, tapi tak apa",passive aggressive
Kerjasama awak dalam dokumen itu sangat dihargai,positive
"Tak mengapa, saya akan betulkan balik walaupun bukan salah saya",passive aggressive
Terima kasih sebab baru update tentang dokumen itu sebelum mesyuarat,passive aggressive
"Kalau ada perubahan pada kerja kumpulan ini, beritahu saya",neutral
Saya akan semak kemas kini itu dari pagi,neutral
Terima kasih kerana bantu siapkan bahagian awak dari pagi,positive
Terima kasih kerana bantu siapkan perbincangan tadi sebelum kelas,positive
Boleh update saya tentang kemas kini itu bila ada masa,neutral
"Baguslah, dokumen itu masih belum siap walaupun semua orang dah tunggu",passive aggressive
Saya suka cara awak uruskan mesej saya,positive
Terima kasih sebab baru update tentang kerja kumpulan ini hari ini,passive aggressive
Saya sangat hargai usaha awak dalam projek ini,positive
Terima kasih sebab beri respon yang jelas tentang slaid pembentangan,positive
Menarik juga bila tugasan ini diberitahu last minute,passive aggressive
Terima kasih sebab baru update tentang kemas kini itu semalam,passive aggressive
"Tak apa lah, mungkin saya je yang terlalu risau tentang bahagian awak",passive aggressive
"Kalau ada perubahan pada dokumen itu, beritahu saya",neutral
Saya akan semak perbincangan tadi dari pagi,neutral
"Bagus kerja awak untuk dokumen itu, memang membantu",positive
"Saya ingatkan fail itu kita buat sama-sama, rupanya saya sorang je",passive aggressive
Terima kasih kerana bantu siapkan mesej saya semalam,positive
"Kalau ada perubahan pada laporan ini, beritahu saya",neutral
Saya dah hantar dari semalam tapi mungkin awak belum sempat tengok,passive aggressive
Saya tunggu maklum balas tentang perbincangan tadi,neutral
Menarik juga bila perbincangan tadi diberitahu last minute,passive aggressive
Terima kasih kerana bantu siapkan perbincangan tadi dari pagi,positive
"Kalau ada perubahan pada bahagian awak, beritahu saya",neutral
